enunciados|modelos|varindep|vardep
Una rueda de 25.0 cm de radio gira a 120 rpm e incrementa de manera uniforme su frecuencia hasta 660 rpm en 9.00 s. Encuentre a) la aceleración angular constante en rad/s² y b) la aceleración tangencial de un punto en el borde.|MovimientoCircular|[['d', 'r', '25.0', 'cm', 'm'], ['w', '', '120', 'rpm', 'rad/s'], ['w', '', '660', 'rpm', 'rad/s'], ['t', '', '9.00', 's', 's']]|[['alfa', 'alfa', 'rad/s²'], ['a', 'at', 'm/s²']]
Un piloto acróbata vuela a 15 m/s en dirección paralela al suelo plano que se encuentra 100 m debajo, como se muestra en la figura 2-5. ¿A qué distancia x del objetivo debe estar el avión para que, si deja caer un saco de harina, éste choque con el blanco?|LanzamientodeProyectil|[['v', '', '15', 'm/s', 'm/s'], ['d', '', '100', 'm', 'm']]|[['d', 'd', 'm']]
Se deja caer una canica desde un puente y golpea el agua en un tiempo de 5.0 s. Calcule a) la rapidez con que choca contra el agua y b) la altura del puente.|CaidaLibre|[['t', 't', '5.0', 's', 's']]|[['v', 'v', 'm/s'], ['d', 'y', 'm']]
Desde una torre se deja caer un cuerpo y tarda 5 s en llegar al suelo. Calcular la altura de la torre. |CaidaLibre|[['t', 't', '5', 's', 's']]|[['d', 'y', 'm']]
Un tren reduce su velocidad de 60 a 20 km/h en un tiempo de 8 s. Encuentre la aceleración en unidades del SI.|MovimientoUniformementeAcelerado|[['v', 'vi', '60', 'km/h', 'm/s'], ['v', '', '20', 'km/h', 'm/s'], ['t', 't', '8', 's', 's']]|[['v', 'v', 'm/s'], ['a', 'a', 'm/s²']]
Un carro que se mueve a 5.0 m/s trata de dar vuelta en una esquina, describiendo un arco circular de 8.0 m de radio. El camino es plano. ¿Qué tan grande debe ser el coeficiente de fricción entre las llantas y el pavimento para que no derrape?|MovimientoCircular|[['v', '', '5.0', 'm/s', 'm/s'], ['d', 'r', '8.0', 'm', 'm']]|[['uk', 'uk', ' ']]
Una llanta de 30 cm de radio gira a una tasa de 8.0 rev/s cuando el automóvil comienza a detenerse uniformemente hasta el reposo en un tiempo de 14 s. Encuentre el número de revoluciones que da la llanta y la distancia recorrida por el automóvil en los 14 s.|MovimientoCircular|[['d', 'r', '30', 'cm', 'm'], ['w', '', '8.0', 'rev/s', 'rad/s'], ['t', 't', '14', 's', 's']]|[['n','n','rev'], ['d', 'd', 'm']]
Un objeto de 200 g se amarra al extremo de una cuerda y lo hace girar en un círculo horizontal de 1.20 m de radio a unas constantes 3.0 rev/s. Suponga que la cuerda se encuentra en posición horizontal, es decir, el efecto de la gravedad se puede despreciar. Determine a) la aceleración del objeto y b) la tensión en la cuerda.|MovimientoCircular|[['m', '', '200', 'g', 'kg'], ['d', 'r', '1.20', 'm', 'm'], ['w', '', '3.0', 'rev/s', 'rad/s']]|[['a', 'a', 'm/s²'], ['T', 'F', 'N']]
Un cuerpo cae libremente desde el reposo. Calcular: a) La distancia recorrida en 3 s, b) La velocidad después de haber recorrido 100 m, c) el tiempo necesario para alcanzar una velocidad de 25 m/s, d) el tiempo necesario para recorrer 300 m, desde que cae.|CaidaLibre|[['v', 'vi', '0', 'm/s', 'm/s'], ['t', '', '3', 's', 's'], ['d', '', '100', 'm', 'm'], ['v', 'v', '25', 'm/s', 'm/s'], ['d', '', '300', 'm', 'm']]|[['d', 'd', 'm'], ['v', 'v', 'm/s'], ['t', 't', 's'], ['t', 't', 's']]
Como se muestra en la figura 9-5, una cuenta de 20 g resbala desde el reposo en el punto A a lo largo de un alambre sin fricción. Si h tiene 25 cm y R tiene 5.0 cm, ¿cuál es la magnitud de la fuerza que el alambre debe ejercer sobre la cuenta en a) el punto B y b) el punto D?|MovimientoCircular|[['m', '', '20', 'g', 'kg'], ['d', '', '25', 'cm', 'm'], ['d', '', '5.0', 'cm', 'm']]|[['F', 'F', 'N']]
Se lanza una pelota de béisbol con una velocidad inicial de 100 m/s con un ángulo de 30.0º en relación con la horizontal, como se muestra en la figura 2-6. ¿A qué distancia del punto de lanzamiento alcanzará la pelota su nivel inicial?|LanzamientodeProyectil|[['v', 'vi', '100', 'm/s', 'm/s'], ['ang', 'ang', '30.0', 'º', 'º']]|[['d', 'd', 'm']]
¿Con qué velocidad se debe lanzar hacia arriba, una piedra, para que logre una altura máxima de 3.2 m?|CaidaLibre|[['d', 'ymax', '3.2', 'm', 'm']]|[['v', 'v', 'm/s']]
Una rueda que gira a 6.00 rev/s tiene una aceleración angular de 4.00 rad/s². Encuentre el número de vueltas que debe dar la rueda para alcanzar una rapidez angular de 26.0 rev/s, así como el tiempo requerido.|MovimientoCircular|[['w', '', '6.00', 'rev/s', 'rad/s'], ['alfa', 'alfa', '4.00', 'rad/s²', 'rad/s²'], ['w', 'w', '26.0', 'rev/s', 'rad/s']]|[['n', 'n', 'rev'], ['t', 't', 's']]
Un cuerpo se lanza verticalmente y hacia abajo con velocidad inicial de 20 m/s. Calcular a los 5 s de haber sido lanzado la velocidad del cuerpo y el desplazamiento realizado.|LanzamientoVertical|[['v', 'vi', '20', 'm/s', 'm/s'], ['t', '', '5', 's', 's']]|[['v', 'v', 'm/s'], ['d', 'd', 'm']]
Un tornillo cae accidentalmente desde la parte superior de un edificio. 4 segundos después está golpeando el suelo. ¿Cual será la altura del edificio?.|CaidaLibre|[['t', '', '4', 's', 's']]|[['d', 'y', 'm']]
Un satélite orbita la Tierra a una altura de 200 km en un círculo de 6570 km de radio. Encuentre la rapidez del satélite y el tiempo que le toma completar una revolución. Suponga que la masa de la Tierra es de 6.0x10^24 kg. (Sugerencia: La fuerza gravitacional proporciona la fuerza centrípeta.)|MovimientoCircular|[['d', 'y', '200', 'km', 'm'], ['d', 'r', '6570', 'km', 'm'], ['m', '', '6.0E24', 'kg', 'kg']]|[['v', 'v', 'm/s'], ['t', 't', 's']]
Un autobús parte del reposo y se mueve con una aceleración constante de 5.0 m/s². Encuentre su rapidez y la distancia recorrida después de transcurridos 4.0 s.|MovimientoUniformementeAcelerado|[['v', 'vi', '0', 'm/s', 'm/s'], ['a', '', '5.0', 'm/s²', 'm/s²'], ['t', '', '4.0', 's', 's']]|[['a', 'a', 'm/s²'], ['v', 'v', 'm/s'], ['d', 'd', 'm']]
La rapidez de un tren se reduce uniformemente desde 15 m/s hasta 7.0 m/s al recorrer una distancia de 90 m. a) Calcule la aceleración. b) ¿Qué distancia recorrerá el tren antes de alcanzar el reposo, si se considera que la aceleración permanece constante?|MovimientoUniformementeAcelerado|[['v', '', '15', 'm/s', 'm/s'], ['v', '', '7.0', 'm/s', 'm/s'], ['d', 'd', '90', 'm', 'm'], ['v', 'vf', '0', 'm/s', 'm/s']]|[['a', 'a', 'm/s²'], ['d', 'd', 'm']]
La velocidad de un automóvil aumenta uniformemente de 6.0 m/s a 20 m/s al recorrer una distancia de 70 m en línea recta. Calcule la aceleración y el tiempo transcurrido.|MovimientoUniformementeAcelerado|[['v', '', '6.0', 'm/s', 'm/s'], ['v', '', '20', 'm/s', 'm/s'], ['d', 'd', '70', 'm', 'm']]|[['a', 'a', 'm/s²'], ['t', 't', 's']]
La lenteja de un péndulo de 90 cm de longitud se balancea en un arco de 15 cm, como se muestra en la figura 9-2. Encuentre el ángulo de oscilación, en radianes y en grados.|MovimientoCircular|[['d', 'l', '90', 'cm', 'm'], ['d', '', '15', 'cm', 'm']]|[['ang', 'ang', 'º']]
Se deja caer un cuerpo desde una altura de 10 m. Calcular: a) El tiempo que tarda en caer. b) La velocidad con la que llega al suelo.|CaidaLibre|[['d', 'y', '10', 'm', 'm']]|[['t', 't', 's'], ['v', 'v', 'm/s']]
Un automóvil acelera uniformemente mientras pasa por dos puntos marcados que están separados 30 m. El tiempo que tarda en recorrer la distancia entre los dos puntos es de 4.0 s y la rapidez del automóvil en el primer punto marcado es de 5.0 m/s. Encuentre la aceleración del automóvil y su rapidez al llegar al segundo punto marcado.|MovimientoUniformementeAcelerado|[['d', '', '30', 'm', 'm'], ['t', '', '4.0', 's', 's'], ['v', '', '5.0', 'm/s', 'm/s']]|[['t', 't', 's'], ['d', 'd', 'm'], ['v', 'v', 'm/s'], ['a', 'a', 'm/s²'], ['v', 'v', 'm/s']]
¿Cuál es la máxima rapidez con la que un automóvil puede tomar una curva de 25 m de radio en un camino plano si el coeficiente de fricción estática entre las llantas y la carretera es 0.80?|MovimientoCircular|[['d', 'r', '25', 'm', 'm'], ['uk', 'uk', '0.8', '', '']]|[['v', 'vmax', 'm/s']]
Se arroja una piedra hacia abajo en línea recta con una rapidez inicial de 8.0 m/s y desde una altura de 25 m. Encuentre a) el tiempo que tarda en llegar al piso y b) la rapidez con la que choca contra el piso.|CaidaLibre|[['v', 'vi', '8.0', 'm/s', 'm/s'], ['d', 'y', '25', 'm', 'm']]|[['t', 't', 's'], ['v', 'v', 'm/s']]
Se lanza una pelota hacia arriba formando un ángulo de 30º con la horizontal y cae en la parte más alta de un edificio que está a 20 m de distancia. El borde superior se encuentra a 5.0 m por encima del punto de lanzamiento. ¿Con qué rapidez se lanzó la pelota? |LanzamientodeProyectil|[['ang', 'ang', '30', 'º', 'º'], ['d', 'd', '20', 'm', 'm'], ['d', '', '5.0', 'm', 'm']]|[['v', 'v', 'm/s']]
Como se muestra en la figura 9-8, un cascarón cilíndrico delgado de radio interior r gira de manera horizontal, en torno a un eje vertical, con una rapidez angular. Un bloque de madera se recarga en la superficie interior y gira con él. Si el coeficiente de fricción estática entre el bloque y la superficie es  e, ¿con qué rapidez debe girar el cascarón para que el bloque no resbale y caiga? Suponga que r =  150 cm y  e = 0.30.|MovimientoCircular|[['d', '', '150', 'cm', 'm'], ['uk', 'uk', '0.30', '', '']]|[['w', 'w', 'm/s']]
A un ladrillo se le imparte una velocidad inicial de 6 m/s en su trayectoria hacia abajo. ¿Cuál será su velocidad final después de caer una distancia de 40 m?|CaidaLibre|[['v', 'vi', '6', 'm/s', 'm/s'], ['d', 'd', '40', 'm', 'm']]|[['v', 'vf', 'm/s']]
Una piedra se encuentra en el fondo de un balde que se mueve en un círculo vertical de 60 cm de radio. ¿Cuál es la rapidez mínima que debe tener la piedra en el punto más alto de la trayectoria si debe permanecer en contacto con el fondo del balde?|MovimientoCircular|[['d', 'r', '60', 'cm', 'm']]|[['v', 'vmin', 'm/s']]
Un objeto que se mueve a 13 m/s frena uniformemente a razón de 2.0 m/s por cada segundo durante un tiempo de 6.0 s. Determine: a) su rapidez final, b) su rapidez promedio durante los 6.0 s y c) la distancia recorrida en los 6.0 s.|MovimientoUniformementeAcelerado|[['v', '', '13', 'm/s', 'm/s'], ['a', '', '2.0', 'm/s²', 'm/s²'], ['t', 't', '6.0', 's', 's'], ['t', '', '6.0', 's', 's'], ['t', '', '6.0', 's', 's']]|[['v', 'vf', 'm/s'], ['v', 'vm', 'm/s'], ['d', 'd', 'm']]
Una curva de 30 m de radio va a peraltarse para que un auto pueda tomarla con una rapidez de 13 m/s sin depender de la fricción. ¿Cuál debe ser la pendiente de la curva (ángulo de peralte)?|MovimientoCircular|[['d', 'r', '30', 'm', 'm'], ['v', 'v', '13', 'm/s', 'm/s']]|[['ang', 'ang', 'º']]
Una rueda de 40 cm de radio gira sobre un eje estacionario. Su rapidez aumenta uniformemente desde el reposo hasta una rapidez de 900 rpm en un tiempo de 20 s. Encuentre a) la aceleración angular constante de la rueda y b) la aceleración tangencial de un punto que se encuentra en su borde.|MovimientoCircular|[['d', 'r', '40', 'cm', 'm'], ['wi', '', '0', 'rad/s', 'rad/s'], ['w', '', '900', 'rpm', 'rad/s'], ['t', 't', '20', 's', 's']]|[ ['alfa', 'alfa', 'rad/s²'], ['a', 'at', 'm/s²']]
Una caja se desliza hacia abajo sobre un plano inclinado con aceleración uniforme. Parte del reposo y alcanza una rapidez de 2.7 m/s en 3.0 s. Encuentre a) la aceleración y b) la distancia recorrida en los primeros 6.0 s.|MovimientoUniformementeAcelerado|[['v', 'vi', '0', 'm/s', 'm/s'], ['v', 'v', '2.7', 'm/s', 'm/s'], ['t', '', '3.0', 's', 's'], ['t', '', '6.0', 's', 's']]|[['a', 'a', 'm/s²'], ['a', 'a', 'm/s²'], ['d', 'd', 'm']]
Un péndulo de 80.0 cm de longitud se jala hacia un lado, hasta que su lenteja se eleva 20.0 cm sobre el punto más bajo, y entonces se suelta. Cuando la lenteja de 50.0 g se encuentra en el punto más bajo, a) ¿cuál es su rapidez y b) cuál es la tensión en la cuerda del péndulo?|MovimientoCircular|[['d', 'l', '80.0', 'cm', 'm'], ['d', '', '20.0', 'cm', 'm'], ['m', '', '50.0', 'g', 'kg']]|[['v', 'v', 'm/s'], ['F','T','N']]
Desde un edificio de 10.0 [m] de altura se lanza un proyectil, con una velocidad inicial de 5.0 [m/s] formando un ángulo de 30º con la horizontal. Determine: a)Las componentes ortogonales de la velocidad inicial b) El tiempo de vuelo del proyectil c)La velocidad junto antes de tocar el piso d)La altura máxima alcanzada por el proyectil e)El alcance del proyectil.|LanzamientodeProyectil|[['d', 'y', '10.0', 'm', 'm'], ['v', 'vi', '5.0', 'm/s', 'm/s'], ['ang', 'ang', '30', 'º', 'º']]|[['v', 'vi', 'm/s'], ['t', 'tv', 's'], ['v', 'v', 'm/s'], ['d', 'ymax', 'm'], ['d', 'alc', 'm']]
Un futbolista patea una balón con un ángulo de 37º de la horizontal con una rapidez de 15.25 m/s. Calcular: a) ¿Cuándo alcanza el balón el punto más alto de la trayectoria? b) ¿A que altura llega el balón? c) ¿Cuál es el alcance horizontal?|LanzamientodeProyectil|[['ang', 'ang', '37', 'º', 'º'], ['v', 'v', '15.25', 'm/s', 'm/s']]|[['d', 'y', 'm'], ['d', 'alc', 'm']]
Una pelota de hule se deja caer del reposo, como se muestra en la figura 6.5. Encuentre su velocidad y su posición después de 1, 2, 3 y 4 s.|CaidaLibre|[['t', 't', '1', 's', 's'], ['t', 't', '2', 's', 's'], ['t', 't', '3', 's', 's'], ['t', 't', '4', 's', 's']]|[['v', 'v', 'm/s'], ['d', 'x', 'm']]
